Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
AwsSdk,AwsSdk-Core31-x64-NoTC-YesR2R-NoPreJIT-05120,dotnetcore3.1,x86_64,no,yes,no,1538340,5120MB,100,283.48,8.303,88.896,28.29989119975
AwsSdk,AwsSdk-Core31-x64-NoTC-YesR2R-YesPreJIT-01024,dotnetcore3.1,x86_64,no,yes,yes,1538340,1024MB,100,325.199,6.9,83.047,21.69911133155
AwsSdk,AwsSdk-Core31-x64-NoTC-YesR2R-YesPreJIT-00128,dotnetcore3.1,x86_64,no,yes,yes,1538340,128MB,100,325.537,66.763,117.08,20.583006599345
AwsSdk,AwsSdk-Core31-x64-NoTC-YesR2R-YesPreJIT-01769,dotnetcore3.1,x86_64,no,yes,yes,1538340,1769MB,100,322.698,7.42,84.611,22.849791090587207
AwsSdk,AwsSdk-Core31-x64-NoTC-YesR2R-YesPreJIT-00256,dotnetcore3.1,x86_64,no,yes,yes,1538340,256MB,100,324.502,27.185,93.614,20.703329756657503
AwsSdk,AwsSdk-Core31-x64-NoTC-YesR2R-YesPreJIT-00512,dotnetcore3.1,x86_64,no,yes,yes,1538340,512MB,100,335.752,11.37,88.935,21.03587667175
AwsSdk,AwsSdk-Core31-x64-NoTC-YesR2R-YesPreJIT-05120,dotnetcore3.1,x86_64,no,yes,yes,1538340,5120MB,100,320.703,8.18,89.537,28.34310795285
AwsSdk,AwsSdk-Core31-x64-YesTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,yes,no,no,565860,1024MB,100,323.011,4.836,93.499,21.8389199445
AwsSdk,AwsSdk-Core31-x64-YesTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,yes,no,no,565860,128MB,100,322.494,35.213,359.884,21.023118521233748
AwsSdk,AwsSdk-Core31-x64-YesTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,yes,no,no,565860,1769MB,100,325.783,5.155,93.858,23.050813696407655
AwsSdk,AwsSdk-Core31-x64-YesTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,yes,no,no,565860,256MB,100,320.859,14.344,130.338,20.8028424556825
AwsSdk,AwsSdk-Core31-x64-YesTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,x86_64,yes,no,no,565860,512MB,100,321.948,5.005,98.019,21.058527550385
AwsSdk,AwsSdk-Core31-x64-YesTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,x86_64,yes,no,no,565860,5120MB,100,318.433,6.075,97.229,28.80867555065
AwsSdk,AwsSdk-Core31-x64-YesTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,x86_64,yes,no,yes,565860,1024MB,100,363.998,5.088,97.241,21.90549007764
AwsSdk,AwsSdk-Core31-x64-YesTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,x86_64,yes,no,yes,565860,128MB,100,354.883,34.747,344.084,20.98923345346375
AwsSdk,AwsSdk-Core31-x64-YesTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,x86_64,yes,no,yes,565860,1769MB,100,364.73,4.911,94.665,23.067032441410184
AwsSdk,AwsSdk-Core31-x64-YesTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,x86_64,yes,no,yes,565860,256MB,100,357.911,12.711,131.02,20.7988816144275
AwsSdk,AwsSdk-Core31-x64-YesTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,x86_64,yes,no,yes,565860,512MB,100,356.854,4.77,98.299,21.058907551145
AwsSdk,AwsSdk-Core31-x64-YesTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,x86_64,yes,no,yes,565860,5120MB,100,346.209,5.327,95.214,28.5783667567
AwsSdk,AwsSdk-Core31-x64-YesTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,yes,yes,no,1538340,1024MB,100,281.67,5.391,93.817,21.853483306959998
AwsSdk,AwsSdk-Core31-x64-YesTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,yes,yes,no,1538340,128MB,100,277.832,34.154,355.524,21.0118303736575
AwsSdk,AwsSdk-Core31-x64-YesTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,yes,yes,no,1538340,1769MB,100,281.2,4.891,91.961,22.988590494162022
AwsSdk,AwsSdk-Core31-x64-YesTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,yes,yes,no,1538340,256MB,100,275.647,11.078,123.583,20.76108945551
