Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-1024,dotnetcore3.1,arm64,yes,no,47115,1024MB,AVERAGE,20,166.621,193.613,2.495,2.033,2.088,2.238,1.909,1.814,1.95,1.805,2.63,2.854,2.592,4.236,3.51,3.52,5.497,4.248,4.247,3.349,4.328,3.829,3.388,2.29,5.474,2.985,2.05,77.351
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-128,dotnetcore3.1,arm64,yes,no,47115,128MB,AVERAGE,20,166.06,2036.257,16.56,7.188,14.059,11.593,21.496,23.011,20.381,48.395,38.086,30.474,23.432,27.254,20.347,38.767,40.053,45.777,47.383,21.118,37.348,30.005,37.376,49.055,44.266,53.086,38.731,785.235
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-1769,dotnetcore3.1,arm64,yes,no,47115,1769MB,AVERAGE,20,166.894,114.086,2.592,2.295,2.097,1.929,2.169,1.866,1.782,1.801,2.926,5.282,6.12,4.951,4.397,2.779,4.548,3.288,4.543,3.809,3.194,2.055,2.519,2.349,3.276,3.37,3.148,79.079
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-256,dotnetcore3.1,arm64,yes,no,47115,256MB,AVERAGE,20,166.861,916.391,8.885,2.744,5.108,2.854,5.102,2.854,5.956,14.256,10.802,11.972,7.53,12.027,11.358,13.253,16.86,12.539,14.189,11.449,10.804,10.403,13.661,10.558,8.027,12.572,9.99,245.748
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-512,dotnetcore3.1,arm64,yes,no,47115,512MB,AVERAGE,20,165.721,417.522,3.754,1.938,1.977,2.074,2.505,1.713,1.734,2.294,3.246,4.546,3.898,6.968,6.042,4.099,5.6,8.005,4.84,4.556,5.249,3.58,6.644,5.603,7.123,5.782,5.18,108.943
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-1024,dotnetcore3.1,arm64,yes,yes,53281,1024MB,AVERAGE,20,166.241,190.693,2.678,2.32,1.869,2.127,1.945,1.81,2.043,2.255,2.221,1.947,3.169,4.646,5.175,4.979,3.493,6.647,4.047,3.413,2.844,3.65,4.118,2.94,3.146,2.732,3.556,79.765
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-128,dotnetcore3.1,arm64,yes,yes,53281,128MB,AVERAGE,20,165.557,2044.672,16.236,7.151,13.926,14.087,9.789,9.145,30.119,29.926,23.333,23.761,28.172,35.844,38.956,41.293,50.086,35.433,52.599,34.711,45.271,42.141,41.645,49.115,53.308,37.802,46.897,810.738
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-1769,dotnetcore3.1,arm64,yes,yes,53281,1769MB,AVERAGE,20,165.881,111.256,3.495,2.296,1.894,1.86,2.012,1.968,1.945,2.669,2.558,2.859,4.306,4.689,5.187,3.766,4.514,3.476,4.601,3.145,3.051,3.632,2.951,1.86,4.545,3.926,2.517,79.717
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-256,dotnetcore3.1,arm64,yes,yes,53281,256MB,AVERAGE,20,164.161,903.797,11.613,2.812,6.346,4.372,5.448,3.291,4.046,6.797,9.657,12.943,14.363,12.282,5.983,7.836,6.418,11.251,7.866,8.267,10.264,13.968,12.195,11.288,15.18,16.398,13.901,234.778
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-512,dotnetcore3.1,arm64,yes,yes,53281,512MB,AVERAGE,20,164.818,404.791,2.642,1.933,1.943,5.153,2.209,2.042,1.733,2.642,3.505,4.92,6.107,6.117,4.142,4.16,4.896,4.828,4.233,4.496,5.366,3.973,5.028,4.392,5.784,5.89,3.228,101.358
