Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,no,no,no,787425,1769MB,100,381.182,282.967,195.197,33.96747158111205
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,no,no,no,787425,256MB,100,388.687,2020.835,269.144,29.7415978331575
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,x86_64,no,no,no,787425,512MB,100,382.676,964.098,213.415,30.012630458554998
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,x86_64,no,no,no,787425,5120MB,100,372.493,278.514,195.267,59.681753963350005
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,x86_64,no,no,yes,787425,1024MB,100,529.152,288.784,194.448,28.253882774399994
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,x86_64,no,no,yes,787425,128MB,100,528.703,2576.587,488.554,26.58572131308375
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,x86_64,no,no,yes,787425,1769MB,100,526.259,168.816,191.005,30.560101270291305
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,x86_64,no,no,yes,787425,256MB,100,543.198,1283.5,293.503,26.770855225017502
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,x86_64,no,no,yes,787425,512MB,100,526.448,609.061,210.384,27.028716990739994
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,x86_64,no,no,yes,787425,5120MB,100,518.836,166.202,201.431,50.836127938800004
